db_type,release,organism,source,missing_meta,missing_coord
vertebrates,91,callithrix_jacchus,tgz-only,1,1
vertebrates,91,canis_familiaris,tgz-only,1,1
vertebrates,91,carlito_syrichta,tgz-only,1,1
vertebrates,91,cavia_aperea,tgz-only,1,1
vertebrates,91,cavia_porcellus,tgz-only,1,1
vertebrates,91,cebus_capucinus,tgz-only,1,1
vertebrates,91,cercocebus_atys,tgz-only,1,1
vertebrates,91,chinchilla_lanigera,tgz-only,1,1
vertebrates,91,chlorocebus_sabaeus,tgz-only,1,1
vertebrates,91,choloepus_hoffmanni,tgz-only,1,1
vertebrates,91,ciona_intestinalis,tgz-only,1,1
vertebrates,91,ciona_savignyi,tgz-only,1,1
vertebrates,91,colobus_angolensis_palliatus,tgz-only,1,1
vertebrates,91,cricetulus_griseus_chok1gshd,tgz-only,1,1
vertebrates,91,cricetulus_griseus_crigri,tgz-only,1,1
vertebrates,91,danio_rerio,tgz-only,1,1
vertebrates,91,dasypus_novemcinctus,tgz-only,1,1
vertebrates,91,dipodomys_ordii,tgz-only,1,1
vertebrates,91,drosophila_melanogaster,tgz-only,1,1
vertebrates,91,echinops_telfairi,tgz-only,1,1
vertebrates,91,equus_caballus,tgz-only,1,1
vertebrates,91,erinaceus_europaeus,tgz-only,1,1
vertebrates,91,felis_catus,tgz-only,1,1
vertebrates,91,ficedula_albicollis,tgz-only,1,1
vertebrates,91,fukomys_damarensis,tgz-only,1,1
vertebrates,91,gadus_morhua,tgz-only,1,1
vertebrates,91,gallus_gallus,tgz-only,1,1
vertebrates,91,gasterosteus_aculeatus,tgz-only,1,1
vertebrates,91,gorilla_gorilla,tgz-only,1,1
vertebrates,91,heterocephalus_glaber_female,tgz-only,1,1
vertebrates,91,heterocephalus_glaber_male,tgz-only,1,1
vertebrates,91,homo_sapiens,tgz-only,1,1
vertebrates,91,ictidomys_tridecemlineatus,tgz-only,1,1
vertebrates,91,jaculus_jaculus,tgz-only,1,1
vertebrates,91,latimeria_chalumnae,tgz-only,1,1
vertebrates,91,lepisosteus_oculatus,tgz-only,1,1
vertebrates,91,loxodonta_africana,tgz-only,1,1
vertebrates,91,macaca_fascicularis,tgz-only,1,1
vertebrates,91,macaca_mulatta,tgz-only,1,1
vertebrates,91,macaca_nemestrina,tgz-only,1,1
vertebrates,91,mandrillus_leucophaeus,tgz-only,1,1
vertebrates,91,meleagris_gallopavo,tgz-only,1,1
vertebrates,91,mesocricetus_auratus,tgz-only,1,1
vertebrates,91,microcebus_murinus,tgz-only,1,1
vertebrates,91,microtus_ochrogaster,tgz-only,1,1
vertebrates,91,monodelphis_domestica,tgz-only,1,1
vertebrates,91,mus_caroli,tgz-only,1,1
vertebrates,91,mus_musculus,tgz-only,1,1
vertebrates,91,mus_musculus_129s1svimj,tgz-only,1,1
vertebrates,91,mus_musculus_aj,tgz-only,1,1
